Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price ZAR,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url
premium-indoor,Premium Indoor,,"<p>Experience relaxation the natural way with our THC/<em>CBD Hemp Pre-Rolled Joints</em>. Expertly rolled using premium, organically grown hemp flower, each pre-roll delivers smooth, balanced flavor and a calming CBD experience — without the high. Perfect for winding down, focusing, or simply taking a mindful moment during your day.</p><p>&nbsp;</p><p><strong>Highlights:</strong></p><ul>	<li>	<p>100% natural hemp flower (no tobacco, no additives)</p>	</li>	<li>	<p>Smooth, even burn for a consistent experience</p>	</li>	<li>	<p>Promotes calm, focus, and relaxation</p>	</li>	<li>	<p>Ready to enjoy – no grinding or rolling required</p>	</li>	<li>	<p>THC content &lt;0.3%, fully legal and non-psychoactive</p>	</li></ul><p>&nbsp;</p><p><strong>Note:</strong> For adult use only. Contains hemp-derived CBD compliant with legal standards (&lt;0.3% THC).</p>",published,https://static.wixstatic.com/media/98377e_ec19007bf28b4dfab1a359be04b5024b~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,cannabis,,,TRUE,product_e7604000-ab6e-d27c-1064-7384d233477c,Default,Cannabis-Indoor-Joint,,TRUE,FALSE,,,,,,,,,100.0,Option,Default,https://static.wixstatic.com/media/98377e_ec19007bf28b4dfab1a359be04b5024b~mv2.png
premium-outdoor,Premium Outdoor,,"<p>Experience relaxation the natural way with our THC/<em>CBD Hemp Pre-Rolled Joints</em>. Expertly rolled using premium, organically grown hemp flower, each pre-roll delivers smooth, balanced flavor and a calming CBD experience — without the high. Perfect for winding down, focusing, or simply taking a mindful moment during your day.</p><p>&nbsp;</p><p><strong>Highlights:</strong></p><ul>	<li>	<p>100% natural hemp flower (no tobacco, no additives)</p>	</li>	<li>	<p>Smooth, even burn for a consistent experience</p>	</li>	<li>	<p>Promotes calm, focus, and relaxation</p>	</li>	<li>	<p>Ready to enjoy – no grinding or rolling required</p>	</li>	<li>	<p>THC content &lt;0.3%, fully legal and non-psychoactive</p>	</li></ul><p>&nbsp;</p><p><strong>Note:</strong> For adult use only. Contains hemp-derived CBD compliant with legal standards (&lt;0.3% THC).</p>",published,https://static.wixstatic.com/media/98377e_daf15c39a1be4a6293088d2056a91cdf~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,cannabis,,,TRUE,product_4293d875-a443-0407-55d8-1e4f0136ddf4,Default,Cannabis-Outdoor-Joint,,TRUE,FALSE,,,,,,,,,50.0,Option,Default,https://static.wixstatic.com/media/98377e_daf15c39a1be4a6293088d2056a91cdf~mv2.png
space-muffin,Space Muffin,,"<p>Lift off into relaxation with our THC/<em>CBD-Infused Space Muffins</em>! Crafted with premium ingredients and infused with high-quality hemp-derived THC/CBD, these muffins offer a delicious way to unwind. Each bite delivers rich flavour and a soft, fluffy texture that takes your taste buds on a cosmic journey — calm, comforting, and absolutely satisfying.</p><p>&nbsp;</p><p><strong>Highlights:</strong></p><ul>	<li>	<p>Infused with pure, hemp-derived THC/CBD (non-psychoactive)</p>	</li>	<li>	<p>Promotes a sense of calm and relaxation</p>	</li>	<li>	<p>Soft, moist, and baked fresh daily</p>	</li>	<li>	<p>Perfect companion for coffee, tea, or chill moments</p>	</li>	<li>	<p>Available in Chocolate, Vanilla, and Cappuccino (Subject to availability)</p>	</li></ul><p>&nbsp;</p><p><strong>Note:</strong> Contains hemp-derived THC/CBD (&lt;30% THC). Intended for adult use only.</p>",published,https://static.wixstatic.com/media/98377e_1cc6d0117d1c41f8b9df2f961d6b0705~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,cannabis,,,TRUE,product_010f95c3-2fa9-6b46-ac25-140a7727ec62,Default,Cannabis-Muffins,,TRUE,FALSE,,,,,,,,,50.0,Option,Default,https://static.wixstatic.com/media/98377e_1cc6d0117d1c41f8b9df2f961d6b0705~mv2.png
blue-razz,Blue Razz,,"<p><strong>EW9000 allows for independent use whenever you are pleasing. Slim, sleek and portable – experience vaping freedom with the joy of ease.</strong></p><p>&nbsp;</p><p>The interchangeable pods and charging devices open up more possibilities to create over 56 unique patterns. It takes just a click to find the right vibe.&nbsp;</p><p>&nbsp;</p><p>The in-built advanced mesh coil with ultra-fine atomization unlocks the full taste potential of your e-liquid, ensuring a richer and more flavorful vaping experience.&nbsp;Power up your next adventure without a hitch.</p><p>&nbsp;</p><p>The charging device intuitively indicates the battery level in green, blue, and red, keeping you informed at all times.&nbsp;Bring you a better vaping experience with an upgraded air-sensor structure. This prevents unexpected activations or delayed shutdowns. With EW9000, it’s always a smooth and enjoyable vaping experience.</p>",published,https://static.wixstatic.com/media/98377e_acf2ea8a86544a6aa2d6c7af4928ae5a~mv2.avif,,,,,,,,,,Quick Dose (Pty) Ltd,elfbar,,,TRUE,product_c54ed785-235e-d85a-5834-444bbf8bcf34,Default,Vape-Elfbar-EW9000-Battery,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_acf2ea8a86544a6aa2d6c7af4928ae5a~mv2.avif
berry-grape,Berry Grape,,"<p>Meet the NASTY MAX 40K Ultra is built to go further, last longer, and hit harder. With enhanced capacity, it delivers up to 40,000 puffs of steady, satisfying flavour. No drop-offs, no compromises - just bold taste and hyper performance from start to finish.</p>",published,https://static.wixstatic.com/media/98377e_95875b23605a4a198a2cd6cadbea4764~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_9d19e6b6-761c-5818-10c0-c5f8af2eb317,Default,Vape-Nasty-MaxUltra,,TRUE,FALSE,,,,,,,,,330.0,Option,Default,https://static.wixstatic.com/media/98377e_95875b23605a4a198a2cd6cadbea4764~mv2.webp
blue-razz-ice,Blue Razz Ice,,"<p>The NASTY BAR D16Ki is a rechargeable Nicotine Salt Disposable Device that delivers up to 16,000 puffs of pure flavour satisfaction. &nbsp;</p><p>&nbsp;</p><p>What makes this device stand out compared to others is that it delivers consistent flavour and nicotine satisfaction from beginning to end.&nbsp;</p><p>&nbsp;</p><p>It also has a Dynamic Control feature which allows you to switch modes based on your preference at the press of a button.</p>",published,https://static.wixstatic.com/media/98377e_1d5b55960d3a4ee696d5acee5b09c186~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_805060c1-cfa0-ae91-d4c2-0d375ba00f01,Default,Vape-Nasty-D16Ki,,TRUE,FALSE,,,,,,,,,260.0,Option,Default,https://static.wixstatic.com/media/98377e_1d5b55960d3a4ee696d5acee5b09c186~mv2.webp
pomegranate-berry,Pomegranate Berry,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.</p><p>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_6d7020cda3f64bd0996905271f52ebde~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_6071d33b-9810-0c89-3763-08571d049347,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_6d7020cda3f64bd0996905271f52ebde~mv2.webp
blackberry-cranberry-ice,Blackberry Cranberry Ice,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_2e2fc10ef4b14e2992f6f0b3963a4621~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_ac938f29-17fd-f206-614e-87df9ee0c6ff,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_2e2fc10ef4b14e2992f6f0b3963a4621~mv2.png
mango-peach-watermelon,Mango Peach Watermelon,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_f041f318549f41ff96ef4752957bf520~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_251b27d7-516e-7f80-44dc-365cf862068c,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_f041f318549f41ff96ef4752957bf520~mv2.png
strawberry-cheesecake,Strawberry Cheesecake,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_f4385ae6a32446479059dbce115a6d88~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_cc088186-46fa-0287-f8c1-d15c86abb7eb,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_f4385ae6a32446479059dbce115a6d88~mv2.png
lemon-cola,Lemon Cola,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_2f78c71ef6a4415d92cae11ebe488c19~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_8e38143f-137c-f647-c95f-db6e19d3c225,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_2f78c71ef6a4415d92cae11ebe488c19~mv2.png
strawberry-raspberry,Strawberry Raspberry,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_9da9b68ecf514f4bbb196833b231dfcc~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3e6baaa2-a2d7-b420-5bd2-0ed90ba8da53,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_9da9b68ecf514f4bbb196833b231dfcc~mv2.png
watermelon-strawberry-apple,Watermelon Strawberry Apple,,"<p>The&nbsp;<strong>NASTY BAR D9Ki</strong>&nbsp;is a rechargeable Nicotine Salt Disposable Device featuring our latest e-liquid formulation that delivers smooth, bold flavour and satisfaction until the very last drop.<br>&nbsp;</p><p>It is a revamped version of our global best-seller DX8.5i device, with enhanced performance and increased liquid capacity to deliver up to 9,000 puffs of consistent flavour and satisfaction.</p>",published,https://static.wixstatic.com/media/98377e_9e3c86093c894c939033ebc4250e6462~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_0931d57a-d9da-92e4-1bfc-32a75b23bf5b,Default,Vape-Nasty-Dk9i,,TRUE,FALSE,,,,,,,,,250.0,Option,Default,https://static.wixstatic.com/media/98377e_9e3c86093c894c939033ebc4250e6462~mv2.png
blackcurrant-berries,Blackcurrant Berries,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_e6e78ab9287b4a92a8ec13bfe27e2cad~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3b266427-fe6b-54cc-e937-321638d3d8eb,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_e6e78ab9287b4a92a8ec13bfe27e2cad~mv2.webp
blue-razz-ice,Blue Razz Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_3f8d48e7d8d34d37a893d11df6644da4~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3931eafe-ff08-da32-fc2c-5542dd6659dd,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_3f8d48e7d8d34d37a893d11df6644da4~mv2.webp
arctic-mint,Arctic Mint,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_f4b24c7405234a48aa1649cfdc69e921~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_10e54e17-a272-c113-3acc-a45929b1f456,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_f4b24c7405234a48aa1649cfdc69e921~mv2.webp
blackberry-ice,Blackberry Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_e212ced9c0e44eca979b45837f847bcd~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_f2c68744-34a8-79f8-0bbb-09e7a574498a,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_e212ced9c0e44eca979b45837f847bcd~mv2.webp
caribbean-mango,Caribbean Mango,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_ab2545149643420e8dc5ddaadf31c3f7~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_c37cc43b-4828-4b1a-9d8a-c247016408b6,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_ab2545149643420e8dc5ddaadf31c3f7~mv2.webp
cherry-peach-raspberry,Cherry Peach Raspberry,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_2a05825591b944e4aa9a0172c838d55c~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_4c253e3b-7448-0e33-8c1b-ebf1cab265fc,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_2a05825591b944e4aa9a0172c838d55c~mv2.webp
cranberry-grape,Cranberry Grape,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_dae1df6b29a54b2a8eb3b42bbb74a68c~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_324ef645-2e28-4bb4-b0e7-870e32c5d8b7,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_dae1df6b29a54b2a8eb3b42bbb74a68c~mv2.webp
double-watermelon,Double Watermelon,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_98236941c64441f88da093920808349c~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_db6127f7-040b-0586-0931-2719552cab5e,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_98236941c64441f88da093920808349c~mv2.webp
menthol,Menthol,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_f03ee75a3f9c449794722a4425fd5e62~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_49cf1a6a-59f3-3e01-3bd5-6596f69994b0,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_f03ee75a3f9c449794722a4425fd5e62~mv2.webp
pineapple-ice,Pineapple Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_2ccd49322dac45288f1c18cf33d1267a~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_98180b18-d48d-d53a-66d1-a7208603f2de,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_2ccd49322dac45288f1c18cf33d1267a~mv2.webp
peach-ice,Peach Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_83486651f1904cd2b35a2a1b1da0af5b~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_44f29a4f-d08f-4c7b-eb3c-8ef7f1615db3,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_83486651f1904cd2b35a2a1b1da0af5b~mv2.webp
raspberry-watermelon,Raspberry Watermelon,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_d09fd9d0bfa3436a8920515fd3ed4b10~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_7fe3129c-7212-f035-a880-15e1df1569dd,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_d09fd9d0bfa3436a8920515fd3ed4b10~mv2.webp
sour-apple-ice,Sour Apple Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_42dadb841c534648acaeab78d4bd7c47~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_044d20f4-9873-fbc7-e282-3751aac52e1a,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_42dadb841c534648acaeab78d4bd7c47~mv2.webp
strawberry-ice,Strawberry Ice,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_6a0efbea148349159285ca75002a7f23~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3c977656-8a89-ea7a-040f-4f99fd670b0e,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_6a0efbea148349159285ca75002a7f23~mv2.webp
strawberry-melon,Strawberry Melon,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_b67bae4ed4cd4ed28d5ef65a55b812c4~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_fa80a5c1-0f9d-542f-f286-d467c1791a17,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_b67bae4ed4cd4ed28d5ef65a55b812c4~mv2.webp
strawberry-watermelon,Strawberry Watermelon,,"<p>NASTY BAR X is created specifically for those looking for the ultimate in nicotine satisfaction.</p><p>The secret lies in our latest creation: the X-NIC Nicotine Salt e-liquid formula.</p><p>&nbsp;</p><p>X-NIC delivers an intense nicotine hit with fast effect and strong throat hit.The X14Ki has been tuned with the X-NIC formula to optimise flavour and nicotine performance, delivering consistent flavour and satisfaction until the very last drop.</p>",published,https://static.wixstatic.com/media/98377e_23117154796d49859dab600f6bb27689~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_ebd35a91-19e4-f287-bdf7-f3178faabc5e,Default,Vape-Nasty-X14Ki,,TRUE,FALSE,,,,,,,,,280.0,Option,Default,https://static.wixstatic.com/media/98377e_23117154796d49859dab600f6bb27689~mv2.webp
mango-magic,Mango Magic,,"<p>Experience the <strong>ultimate chill</strong> with the <em>Elfbar Ice King</em>, a premium disposable vape designed for smooth, icy satisfaction. Crafted for those who crave bold flavour and instant refreshment, the Ice King delivers a perfectly balanced cool inhale with a rich, satisfying finish. Its sleek design, long-lasting battery, and generous e-liquid capacity make it a top choice for vapers who demand both <strong>style and performance</strong>.</p><p>&nbsp;</p><ul>	<li>	<p><strong>Puffs:</strong> Up to 6000 (varies by model)</p>	</li>	<li>	<p><strong>Battery:</strong> High-capacity rechargeable battery</p>	</li>	<li>	<p><strong>Flavour:</strong> Intense icy menthol blend</p>	</li>	<li>	<p><strong>Design:</strong> Ergonomic and modern with LED indicator</p>	</li>	<li>	<p><strong>Performance:</strong> Consistent flavour from first puff to last</p>	</li></ul><p>&nbsp;</p><p>Stay frosty — the <strong>Ice King</strong> rules the throne of refreshment.</p>",published,https://static.wixstatic.com/media/98377e_fd2f2d329168449aacb3c19ddc70e1f1~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,elfbar,,,TRUE,product_7cfc3549-3b11-369b-f829-d9f4f9cf53b8,Default,Vape-Elfbar-IceKing,,TRUE,FALSE,,,,,,,,,320.0,Option,Default,https://static.wixstatic.com/media/98377e_fd2f2d329168449aacb3c19ddc70e1f1~mv2.webp
